"xh"	"sgdm"	"zqdm"	"name"	"wsfxr"	"ssr"	"fxl"	"wsfxl"	"sgsx"	"fxj"	"syl"	"zql"
"112"	"787066"	"688066"	"航天宏图"	"2019-07-12"	"2019-07-22"	"4,150"	"1,577"	"1.15"	"17.25"	"46.14"	"--"
"27"	"787310"	"688310"	"迈得医疗"	"2019-11-20"	"2019-12-03"	"2,090"	"794"	"0.55"	"24.79"	"42.21"	"--"
"158"	"730989"	"600989"	"宝丰能源"	"2019-04-30"	"2019-05-16"	"73,336"	"66,002"	"22.00"	"11.12"	"22.07"	"--"
"69"	"002963"	"002963"	"豪尔赛"	"2019-10-16"	"2019-10-28"	"3,759"	"3,383"	"1.50"	"23.66"	"20.82"	"--"
"113"	"787388"	"688388"	"嘉元科技"	"2019-07-12"	"2019-07-22"	"5,780"	"2,204"	"1.60"	"28.26"	"36.97"	"--"
"28"	"300801"	"300801"	"泰和科技"	"2019-11-19"	"2019-11-28"	"3,000"	"2,700"	"1.20"	"30.42"	"20"	"--"
"159"	"300778"	"300778"	"新城市"	"2019-04-25"	"2019-05-10"	"2,000"	"2,000"	"2.00"	"27.33"	"22.98"	"--"
"70"	"780077"	"601077"	"渝农商行"	"2019-10-14"	"2019-10-29"	"135,700"	"99,024"	"40.70"	"7.36"	"9.25"	"--"
"114"	"787016"	"688016"	"心脉医疗"	"2019-07-11"	"2019-07-22"	"1,800"	"579"	"0.40"	"46.23"	"39.75"	"--"
"29"	"300808"	"300808"	"久量股份"	"2019-11-19"	"2019-11-29"	"4,000"	"3,600"	"1.60"	"11.04"	"20.6"	"--"
"160"	"002953"	"002953"	"日丰股份"	"2019-04-24"	"2019-05-09"	"4,302"	"3,872"	"1.70"	"10.52"	"16.34"	"--"
"71"	"300795"	"300795"	"米奥兰特"	"2019-10-10"	"2019-10-22"	"2,504"	"2,254"	"1.00"	"14.27"	"22.98"	"--"
"115"	"787122"	"688122"	"西部超导"	"2019-07-11"	"2019-07-22"	"4,420"	"1,260"	"0.80"	"15.00"	"67.79"	"--"
"30"	"002969"	"002969"	"嘉美包装"	"2019-11-19"	"2019-12-02"	"9,526"	"8,574"	"2.85"	"3.67"	"22.48"	"--"
"161"	"732697"	"603697"	"有友食品"	"2019-04-23"	"2019-05-08"	"7,950"	"7,155"	"3.10"	"7.87"	"13.92"	"--"
"72"	"732815"	"603815"	"交建股份"	"2019-10-09"	"2019-10-21"	"4,990"	"4,491"	"1.40"	"5.14"	"22.98"	"--"
"116"	"300786"	"300786"	"国林科技"	"2019-07-11"	"2019-07-23"	"1,335"	"1,335"	"1.30"	"26.02"	"22.98"	"--"
